player_name,country,year,current_position,suggested_position,source,confidence,reason,notes
Walter Little,New Zealand,1991,TBC,,,,No trusted structured position source found,
Walter Little,New Zealand,1995,TBC,,,,No trusted structured position source found,
Craig Innes,New Zealand,1991,TBC,,,,No trusted structured position source found,
Graham Dowd,New Zealand,1991,TBC,,,,No trusted structured position source found,
Graham Purvis,New Zealand,1991,TBC,,,,No trusted structured position source found,
Jason Hewett,New Zealand,1991,TBC,,,,No trusted structured position source found,
Jon Preston,New Zealand,1991,TBC,,,,No trusted structured position source found,
Mark Carter,New Zealand,1991,TBC,,,,No trusted structured position source found,
Va'aiga Tuigamala,New Zealand,1991,TBC,,,,No trusted structured position source found,
Dan Crowley,Australia,1991,TBC,,,,No trusted structured position source found,
Dan Crowley,Australia,1995,TBC,,,,No trusted structured position source found,
Dan Crowley,Australia,1999,TBC,,,,No trusted structured position source found,
Jason Little,Australia,1991,TBC,,,,No trusted structured position source found,
Jason Little,Australia,1995,TBC,,,,No trusted structured position source found,
Jason Little,Australia,1999,TBC,,,,No trusted structured position source found,
Ewen McKenzie,Australia,1991,TBC,,,,No trusted structured position source found,
Ewen McKenzie,Australia,1995,TBC,,,,No trusted structured position source found,
Tony Daly,Australia,1991,TBC,,,,No trusted structured position source found,
Tony Daly,Australia,1995,TBC,,,,No trusted structured position source found,
Bob Egerton,Australia,1991,TBC,,,,No trusted structured position source found,
Brendon Nasser,Australia,1991,TBC,,,,No trusted structured position source found,
John Flett,Australia,1991,TBC,,,,No trusted structured position source found,
Richard Tombs,Australia,1991,TBC,,,,No trusted structured position source found,
Chris Oti,England,1991,TBC,,,,No trusted structured position source found,
Michael Skinner,England,1991,TBC,,,,No trusted structured position source found,
Nigel Heslop,England,1991,TBC,,,,No trusted structured position source found,
Simon Halliday,England,1991,TBC,,,,No trusted structured position source found,
Laurent Cabannes,France,1991,TBC,,,,No trusted structured position source found,
Laurent Cabannes,France,1995,TBC,,,,No trusted structured position source found,
Philippe Saint-André,France,1991,TBC,,,,No trusted structured position source found,
Philippe Saint-André,France,1995,TBC,,,,No trusted structured position source found,
Michel Courtiols,France,1991,TBC,,,,No trusted structured position source found,
Philippe Gimbert,France,1991,TBC,,,,No trusted structured position source found,
Thierry Devergie,France,1991,TBC,,,,No trusted structured position source found,
Gary Halpin,Ireland,1991,TBC,,,,No trusted structured position source found,
Gary Halpin,Ireland,1995,TBC,,,,No trusted structured position source found,
Nick Popplewell,Ireland,1991,TBC,,,,No trusted structured position source found,
Nick Popplewell,Ireland,1995,TBC,,,,No trusted structured position source found,
Simon Geoghegan,Ireland,1991,TBC,,,,No trusted structured position source found,
Simon Geoghegan,Ireland,1995,TBC,,,,No trusted structured position source found,
Brian Robinson,Ireland,1991,TBC,,,,No trusted structured position source found,
David Curtis,Ireland,1991,TBC,,,,No trusted structured position source found,
Gordon Hamilton,Ireland,1991,TBC,,,,No trusted structured position source found,
Jack Clarke,Ireland,1991,TBC,,,,No trusted structured position source found,
Pat O'Hara,Ireland,1991,TBC,,,,No trusted structured position source found,
Vince Cunningham,Ireland,1991,TBC,,,,No trusted structured position source found,
Scott Gibbs,Wales,1991,TBC,,,,No trusted structured position source found,
Scott Gibbs,Wales,1999,TBC,,,,No trusted structured position source found,
Mike Griffiths,Wales,1991,TBC,,,,No trusted structured position source found,
Mike Griffiths,Wales,1995,TBC,,,,No trusted structured position source found,
Mike Hall,Wales,1991,TBC,,,,No trusted structured position source found,
Mike Hall,Wales,1995,TBC,,,,No trusted structured position source found,
Steve Ford,Wales,1991,TBC,,,,No trusted structured position source found,
Steve Ford,Wales,1995,TBC,,,,No trusted structured position source found,
Arthur Emyr,Wales,1991,TBC,,,,No trusted structured position source found,
Hugh Williams-Jones,Wales,1991,TBC,,,,No trusted structured position source found,
Laurance Delaney,Wales,1991,TBC,,,,No trusted structured position source found,
Mark Davis,Wales,1991,TBC,,,,No trusted structured position source found,
Martyn Morris,Wales,1991,TBC,,,,No trusted structured position source found,
Paul Burnell,Scotland,1991,TBC,,,,No trusted structured position source found,
